Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
1.27021000000000000796e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.00136000000000001457e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.48682996247105791618e-006	0.00000000000000000000e+000	-8.95212499063054703205e-006	0.00000000000000000000e+000	7.59625000028638169169e+002	1	1
1.27009000000000000341e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.59894000028609298170e+002	1	1
1.26971999999999994202e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.60154000028618611395e+002	1	1
1.26983999999999994657e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.60416000028606504202e+002	1	1
1.27012000000000000455e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.60676000028615817428e+002	1	1
1.26983999999999994657e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.00136000000000001457e-005	0.00000000000000000000e+000	-9.18479999999999989768e+001	0.00000000000000000000e+000	-7.38247483715521638599e-006	0.00000000000000000000e+000	6.76544530971687488525e-006	0.00000000000000000000e+000	7.60938000028603710234e+002	1	1
1.27012000000000000455e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.17879999999999967031e+001	0.00000000000000000000e+000	-8.14515371469120088872e-006	0.00000000000000000000e+000	6.61113161372938802656e-006	0.00000000000000000000e+000	7.61206000028643757105e+002	1	1
1.26995000000000004547e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.61471000028657726943e+002	1	1
1.26966999999999998749e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.61733000028645619750e+002	1	1
1.27007000000000005002e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.61994000028586015105e+002	1	1
1.27012000000000000455e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.62253000028664246202e+002	1	1
1.26971999999999994202e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.00136000000000001457e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.48682996247105791618e-006	0.00000000000000000000e+000	-8.95212499063054703205e-006	0.00000000000000000000e+000	7.62513000028557144105e+002	1	1
1.27012000000000000455e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.00136000000000001457e-005	0.00000000000000000000e+000	-9.18479999999999989768e+001	0.00000000000000000000e+000	-7.38247483715521638599e-006	0.00000000000000000000e+000	6.76544530971687488525e-006	0.00000000000000000000e+000	7.62777000028640031815e+002	1	1
1.27001000000000004775e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.63044000028632581234e+002	1	1
1.26954999999999998295e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.63306000028620474041e+002	1	1
1.26977999999999994429e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.00136000000000001457e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.48682996247105791618e-006	0.00000000000000000000e+000	-8.95212499063054703205e-006	0.00000000000000000000e+000	7.63566000028629787266e+002	1	1
1.27001000000000004775e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.63825000028591603041e+002	1	1
1.26980999999999994543e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.64086000028648413718e+002	1	1
1.26966999999999998749e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.00136000000000001457e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.48682996247105791618e-006	0.00000000000000000000e+000	-8.95212499063054703205e-006	0.00000000000000000000e+000	7.64345000028610229492e+002	1	1
1.27007000000000005002e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.00136000000000001457e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.48682996247105791618e-006	0.00000000000000000000e+000	-8.95212499063054703205e-006	0.00000000000000000000e+000	7.64606000028667040169e+002	1	1
1.26968999999999994088e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.00136000000000001457e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.48682996247105791618e-006	0.00000000000000000000e+000	-8.95212499063054703205e-006	0.00000000000000000000e+000	7.64867000028607435524e+002	1	1
